VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-03-27",-1.00000,-1.00000,0.0237572,0.0283365
"2016-03-28",-1.00000,-1.00000,0.0282000,0.0299142
"2016-03-29",-1.00000,-1.00000,0.0116000,0.0141193
"2016-03-30",-1.00000,-1.00000,0.0140000,0.0149716
"2016-03-31",-1.00000,-1.00000,0.0113000,0.0140128
"2016-04-01",-1.00000,-1.00000,0.0116000,0.0141193
"2016-04-02",-1.00000,-1.00000,0.0114000,0.0140483
"2016-04-03",-1.00000,-1.00000,0.0114000,0.0140483
"2016-04-04",-1.00000,-1.00000,0.0217810,0.0276348
"2016-04-05",-1.00000,-1.00000,0.0215830,0.0275644
"2016-04-06",-1.00000,-1.00000,0.0201000,0.0201000
"2016-04-07",-1.00000,-1.00000,0.0113000,0.0140128
"2016-04-08",-1.00000,-1.00000,0.0239550,0.0284068
"2016-04-09",-1.00000,-1.00000,0.0149000,0.0152912
"2016-04-10",-1.00000,-1.00000,0.0147000,0.0152202
"2016-04-11",-1.00000,-1.00000,0.0146000,0.0151847
"2016-04-12",-1.00000,-1.00000,0.0269175,0.0294588
"2016-04-13",-1.00000,-1.00000,0.0269173,0.0294587
"2016-04-14",-1.00000,-1.00000,0.0264238,0.0292835
"2016-04-15",-1.00000,-1.00000,0.0147000,0.0152202
"2016-04-16",-1.00000,-1.00000,0.0166000,0.0166000
"2016-04-17",-1.00000,-1.00000,0.0624822,0.0624822
"2016-04-18",-1.00000,-1.00000,0.0538115,0.0866283
"2016-04-19",-1.00000,-1.00000,0.0502520,0.0502520
"2016-04-20",-1.00000,-1.00000,0.0125000,0.0144389
"2016-04-21",-1.00000,-1.00000,0.0506175,0.0506175
"2016-04-22",-1.00000,-1.00000,0.0133000,0.0147230
"2016-04-23",-1.00000,-1.00000,0.0387000,0.0387000
"2016-04-24",-1.00000,-1.00000,0.0217810,0.0276348
"2016-04-25",-1.00000,-1.00000,0.0341066,0.0418127
"2016-04-26",-1.00000,-1.00000,0.0242514,0.0285120
"2016-04-27",-1.00000,-1.00000,0.0765720,0.0857117
"2016-04-28",-1.00000,-1.00000,0.162552,0.162552
"2016-04-29",-1.00000,-1.00000,0.190908,0.190908
"2016-04-30",-1.00000,-1.00000,0.143331,0.143331
"2016-05-01",-1.00000,-1.00000,0.167736,0.167736
"2016-05-02",-1.00000,-1.00000,0.141078,0.141078
"2016-05-03",-1.00000,-1.00000,0.130306,0.130306
"2016-05-04",-1.00000,-1.00000,0.0909723,0.0909723
"2016-05-05",-1.00000,-1.00000,0.190118,0.190118
